"filename", "language", "CSS", "JavaScript", "SVG", "JSON", "Properties", "comment", "blank", "total"
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\map\translatedGrids\elections2024.json", "JSON", 0, 0, 0, 2662, 0, 0, 1, 2663
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\map\translatedGrids\elections2024ecp.json", "JSON", 0, 0, 0, 7177, 0, 0, 0, 7177
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\map\translatedGrids\form45data.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\map\translatedGrids\links.json", "JSON", 0, 0, 0, 267, 0, 0, 0, 267
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\map\translatedGrids\ptiData.js", "JavaScript", 0, 6113, 0, 0, 0, 0, 0, 6113
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\map\translatedGrids\updatedRes2024.json", "JSON", 0, 0, 0, 7177, 0, 0, 0, 7177
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\map\turnout\turnoutAndVotes.js", "JavaScript", 0, 1333, 0, 0, 0, 0, 2, 1335
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\navbar.js", "JavaScript", 0, 95, 0, 0, 0, 0, 19, 114
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\contexts.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\index.css", "CSS", 151, 0, 0, 0, 0, 0, 37, 188
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 3, 4, 19
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\logo.svg", "SVG", 0, 0, 1, 0, 0, 0, 0, 1
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\resources\Group 55.svg", "SVG", 0, 0, 268, 0, 0, 0, 1, 269
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\resources\logo.svg", "SVG", 0, 0, 6, 0, 0, 0, 1, 7
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\utilities.js", "JavaScript", 0, 347, 0, 0, 0, 10, 62, 419
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\views\dataView.js", "JavaScript", 0, 251, 0, 0, 0, 0, 34, 285
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\views\gridMapPage.js", "JavaScript", 0, 320, 0, 0, 0, 18, 50, 388
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\views\landing.js", "JavaScript", 0, 173, 0, 0, 0, 9, 27, 209
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\views\styles\data.module.css", "CSS", 19, 0, 0, 0, 0, 2, 3, 24
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\views\styles\landing.module.css", "CSS", 19, 0, 0, 0, 0, 0, 5, 24
"Total", "-", 373, 14677, 275, 54901, 4, 486, 932, 71648
